Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,12.156250000000002,9.748312121212122,0.41131212121212113,0.9674787878787878,16.91600303030303,33.08489393939395
Tidak Banyak,12.136363636363633,6.856963636363635,0.8650303030303028,0.9608242424242425,15.073281818181817,34.92687575757576
Sedang,19.243750000000002,9.743353125000002,0.5181125,0.8002718750000001,20.31525,29.684996875000007
Cukup Banyak,24.88484848484849,10.131742424242427,0.5421393939393939,0.8537,24.875551515151514,25.12411515151515
Sangat Banyak,24.903030303030302,10.415409090909092,0.4112939393939394,0.5589242424242425,26.164790909090915,23.835293939393935
